행정구역,연도,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
포항시,2008년,508119 ,187079 ,2.72,258441 ,249678 ,1.04
구미시,2008년,393959 ,149224 ,2.64,200203 ,193756 ,1.03
경주시,2008년,269343 ,105579 ,2.55,134663 ,134680 ,1
포항시 북구,2008년,254348 ,92491 ,2.75,127686 ,126662 ,1.01
포항시 남구,2008년,253771 ,94588 ,2.68,130755 ,123016 ,1.06
경산시,2008년,237423 ,90779 ,2.62,119731 ,117692 ,1.02
안동시,2008년,167300 ,65849 ,2.54,83145 ,84155 ,0.99
김천시,2008년,138056 ,53071 ,2.6,68569 ,69487 ,0.99
칠곡군,2008년,116472 ,46821 ,2.49,60060 ,56412 ,1.06
영주시,2008년,113930 ,44843 ,2.54,56785 ,57145 ,0.99
상주시,2008년,105381 ,43432 ,2.43,51844 ,53537 ,0.97
영천시,2008년,104022 ,43571 ,2.39,52090 ,51932 ,1
문경시,2008년,75486 ,31071 ,2.43,37277 ,38209 ,0.98
의성군,2008년,60033 ,26813 ,2.24,29591 ,30442 ,0.97
울진군,2008년,53042 ,23091 ,2.3,26110 ,26932 ,0.97
예천군,2008년,47993 ,21021 ,2.28,23780 ,24213 ,0.98
성주군,2008년,45024 ,19325 ,2.33,22978 ,22046 ,1.04
청도군,2008년,44711 ,19428 ,2.3,21744 ,22967 ,0.95
영덕군,2008년,42707 ,19717 ,2.17,20284 ,22423 ,0.9
고령군,2008년,34770 ,14944 ,2.33,17734 ,17036 ,1.04
봉화군,2008년,34628 ,15288 ,2.27,17346 ,17282 ,1
청송군,2008년,27289 ,12495 ,2.18,13548 ,13741 ,0.99
군위군,2008년,25309 ,11625 ,2.18,12740 ,12569 ,1.01
영양군,2008년,18766 ,8460 ,2.22,9250 ,9516 ,0.97
울릉군,2008년,10168 ,4573 ,2.22,5286 ,4882 ,1.08
포항시,2009년,509475 ,190790 ,2.67,259082 ,250393 ,1.03
구미시,2009년,396419 ,151440 ,2.62,201402 ,195017 ,1.03
경주시,2009년,267466 ,106571 ,2.51,133819 ,133647 ,1
포항시 북구,2009년,256891 ,94750 ,2.71,128878 ,128013 ,1.01
포항시 남구,2009년,252584 ,96040 ,2.63,130204 ,122380 ,1.06
경산시,2009년,236459 ,91529 ,2.58,119284 ,117175 ,1.02
안동시,2009년,167432 ,66870 ,2.5,82991 ,84441 ,0.98
김천시,2009년,135918 ,53122 ,2.56,67446 ,68472 ,0.99
칠곡군,2009년,117288 ,48219 ,2.43,60228 ,57060 ,1.06
영주시,2009년,113309 ,45397 ,2.5,56481 ,56828 ,0.99
상주시,2009년,106208 ,44549 ,2.38,52321 ,53887 ,0.97
영천시,2009년,103115 ,43964 ,2.35,51813 ,51302 ,1.01
문경시,2009년,76645 ,32082 ,2.39,37764 ,38881 ,0.97
의성군,2009년,59109 ,26941 ,2.19,29102 ,30007 ,0.97
울진군,2009년,52529 ,23309 ,2.25,25857 ,26672 ,0.97
예천군,2009년,47306 ,21200 ,2.23,23427 ,23879 ,0.98
성주군,2009년,45616 ,19839 ,2.3,23286 ,22330 ,1.04
청도군,2009년,44279 ,19682 ,2.25,21564 ,22715 ,0.95
영덕군,2009년,41710 ,19790 ,2.11,19809 ,21901 ,0.9
고령군,2009년,34535 ,15049 ,2.29,17597 ,16938 ,1.04
봉화군,2009년,34297 ,15413 ,2.23,17162 ,17135 ,1
청송군,2009년,26917 ,12595 ,2.14,13379 ,13538 ,0.99
군위군,2009년,24966 ,11673 ,2.14,12587 ,12379 ,1.02
영양군,2009년,18553 ,8495 ,2.18,9183 ,9370 ,0.98
울릉군,2009년,10325 ,4848 ,2.13,5393 ,4932 ,1.09
포항시,2010년,514755 ,196411 ,2.62,261586 ,253169 ,1.03
구미시,2010년,404920 ,157057 ,2.58,206195 ,198725 ,1.04
경주시,2010년,267098 ,108567 ,2.46,133646 ,133452 ,1
포항시 북구,2010년,260467 ,97763 ,2.66,130461 ,130006 ,1
포항시 남구,2010년,254288 ,98648 ,2.58,131125 ,123163 ,1.06
경산시,2010년,240708 ,94447 ,2.55,121560 ,119148 ,1.02
안동시,2010년,167886 ,68075 ,2.47,83013 ,84873 ,0.98
김천시,2010년,136136 ,54693 ,2.49,67573 ,68563 ,0.99
칠곡군,2010년,119087 ,49729 ,2.39,61314 ,57773 ,1.06
영주시,2010년,113926 ,46744 ,2.44,56713 ,57213 ,0.99
상주시,2010년,105607 ,44981 ,2.35,52081 ,53526 ,0.97
영천시,2010년,103190 ,44857 ,2.3,51895 ,51295 ,1.01
문경시,2010년,77391 ,33161 ,2.33,38036 ,39355 ,0.97
의성군,2010년,58832 ,27475 ,2.14,28885 ,29947 ,0.96
울진군,2010년,52430 ,23666 ,2.22,25778 ,26652 ,0.97
